Recipient,Amount
0x91adb7c9d0a171c3c22a35950a042816563b83f0,160867.04
0xe5a36bab3bed8b90250653db24709824528eea17,160220.18
0xbc5d5ab36714701bdc3fd1f17e888d5a9c34be97,160137.43
0x113609e9516941666cd957a437c4e3770c4e95d1,159271.24
0x0f804a3f6fbeef20defc7d9551a02c9a922e9e1d,159244.99
0xbfffccb86ca2f4c4a6656b5af2bf450f83a79cf5,159130.39
0xaac983eab9caff99831f03295a88f3514ea08b80,159036.26
0x0cccfe7d13686f985d66a4c43eda2eed9fdf2691,158823.85
0x2ee7097723ac7162987da5e502f3e4b500a6599c,158475.88
0x3c04fc6d98cbb6e99c3de70b9d56854e55b0dfd8,157923.69
0x98aab7c19c223ae06737bd09cc36e6d60fdcb8da,157668.11
0xdc77187ede24b663f12df1b6af7b9c60450a641e,157654.21
0x82cd97cc7637312da003862a690a56e839717384,157486.68
0xf711c057026970663c6f62395b49903e2e1a3e17,157192.11
0x9546db82dc76d87145f82771538b2f0369c9cef1,157157.4
0x6561e8f82f981cbe7a3f9ea03e546811ff6bcbd5,157148.25
0x6309748b84b35614b2435d00241635aecce919ad,157099.07
0xdd93c8763c2e26913ba5dbecf94c4dad5041c5b7,157053.13
0x3e22f695b63db3cc35d9ff577d2d22a9fc0f1ca3,157033.79
0x7cfceed00b5bf1458088794ccd6adbebaedaa4ef,156653.14
0x0e4af9175ead08939d05bf2df10f583b3adc68e3,156486.8
0x4bde930ca7b9c768e5e961fd1bf6bc176d29ec8e,156343.95
0xba231d6b9d4e4fbc80ced866820004ed973f17d0,156326.53
0x0badbd7860b6cc878114e4d7cdeb511da0ad5aee,156244.14
0xfb05eec61ffb2cd4c38f76c3e903609bfdd181bc,156123.25
0xcb903ec03e83386513b5f27fe3e4f31e364f0c44,155608.59
